"Date","Price","Open","High","Low","Change %"
"03-12-2025","5.573","5.520","5.630","5.518","2.16%"
"02-12-2025","5.455","5.519","5.621","5.455","0.63%"
"01-12-2025","5.421","5.506","5.520","-0.211","-0.81%"
"28-11-2025","5.465","5.527","5.577","5.465","-1.34%"
"27-11-2025","5.539","5.506","5.539","5.499","0.80%"
"26-11-2025","5.495","5.551","5.561","5.495","-0.76%"
"25-11-2025","5.537","5.557","5.558","5.537","-0.41%"
"24-11-2025","5.560","5.543","5.560","5.536","0.58%"
"21-11-2025","5.528","5.547","5.565","5.528","-0.47%"
"20-11-2025","5.554","5.545","5.554","5.536","0.00%"
"19-11-2025","5.554","5.538","5.554","5.518","0.29%"
"18-11-2025","5.538","5.542","5.575","5.535","-0.07%"
"17-11-2025","5.542","5.536","5.543","5.530","0.09%"
"14-11-2025","5.537","5.529","5.539","5.516","0.44%"
"13-11-2025","5.513","5.545","5.551","5.513","-0.54%"
"12-11-2025","5.543","5.551","5.557","5.543","0.71%"
"11-11-2025","5.504","5.549","5.572","5.504","-0.88%"
"10-11-2025","5.553","5.558","5.580","5.553","0.23%"
"07-11-2025","5.540","5.586","5.591","5.540","-0.65%"
"06-11-2025","5.576","5.562","5.597","5.534","0.25%"
"05-11-2025","5.562","5.562","5.562","5.562","0.49%"
"04-11-2025","5.535","5.554","5.623","5.535","0.78%"
"03-11-2025","5.492","5.596","5.596","5.492","-2.21%"
"31-10-2025","5.616","5.569","5.616","5.569","1.04%"
"30-10-2025","5.558","5.572","5.681","5.558","-2.03%"
"29-10-2025","5.673","5.542","5.673","5.542","3.48%"
"28-10-2025","5.482","5.544","5.544","5.482","-0.94%"
"27-10-2025","5.534","5.540","5.570","5.534","0.34%"
"24-10-2025","5.515","5.533","5.587","5.496","-0.92%"
"23-10-2025","5.566","5.530","5.566","5.524","0.58%"
"22-10-2025","5.534","5.530","5.534","5.530","0.07%"
"21-10-2025","5.530","5.530","5.530","5.530","-0.07%"
"20-10-2025","5.534","5.561","5.561","5.534","0.05%"
"17-10-2025","5.531","5.525","5.561","5.521","0.97%"
"16-10-2025","5.478","5.643","5.643","5.478","-0.76%"
"15-10-2025","5.520","5.496","5.531","5.480","1.64%"
"14-10-2025","5.431","5.520","5.528","5.431","-1.13%"
"13-10-2025","5.493","5.528","5.528","5.493","-0.87%"
"10-10-2025","5.541","5.518","5.549","5.496","0.87%"
"09-10-2025","5.493","5.525","5.541","5.493","-0.94%"
"08-10-2025","5.545","5.534","5.595","5.525","-0.93%"
"07-10-2025","5.597","5.542","5.597","5.541","1.69%"
"06-10-2025","5.504","5.579","5.579","5.504","-1.40%"
"03-10-2025","5.582","5.617","13.118","5.510","-0.62%"
"02-10-2025","5.617","5.617","5.617","5.617","0.29%"
"01-10-2025","5.601","5.745","5.844","5.601","0.41%"
"30-09-2025","5.578","5.602","5.732","5.428","-0.71%"
"29-09-2025","5.618","5.598","5.618","5.547","0.09%"
"26-09-2025","5.613","5.596","5.627","5.596","1.34%"
"25-09-2025","5.539","5.698","5.698","5.539","-0.47%"
"24-09-2025","5.565","5.574","5.585","5.541","0.23%"
"23-09-2025","5.552","5.563","5.575","5.552","-0.04%"
"22-09-2025","5.554","5.601","5.605","5.554","-0.80%"
