date,tenor_years,yield_percent,source_id,notes
2024-07-12,1.0,6.927,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-15,1.0,6.886,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-16,1.0,6.895,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-18,1.0,6.897,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-19,1.0,6.884,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-22,1.0,6.872,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-23,1.0,6.883,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-24,1.0,6.873,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-25,1.0,6.833,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-26,1.0,6.827,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-29,1.0,6.838,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-30,1.0,6.839,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-07-31,1.0,6.839,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-01,1.0,6.814,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-02,1.0,6.794,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-05,1.0,6.724,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-06,1.0,6.722,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-07,1.0,6.717,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-08,1.0,6.727,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-09,1.0,6.771,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-12,1.0,6.748,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-13,1.0,6.739,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-14,1.0,6.768,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-16,1.0,6.763,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-19,1.0,6.76,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-20,1.0,6.727,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-21,1.0,6.757,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
2024-08-22,1.0,6.744,MANUAL_PUBLIC_YIELD_CSV,Imported manually from india_1y_yield.csv; verify source in source_log.csv
